🔉 Halsey - Walls Could Talk (2017) streams are up +23% in the US, +20% Global due to trending tiktok sound (Volume: 129K US // 302K Global Streams)
🔉 PLUTO - WHIM WHAMIEE (2025) streams are up +17% in the US, +14% Global driven by trending tiktok sound (Volume: 1.33M US // 1.57M Global Streams)
🔉 LANY - XXL (2023) streams are up +200000000% in the US, -15% Global driven by trending tiktok sound (Volume: 2 US // 176K Global Streams)
🎥 Rae Sremmurd - Powerglide (2018) streams are up +27% in the US, +15% Global driven by viral tiktok (Volume: 116K US // 154K Global Streams)
🎸 Lady Gaga Catalog streams are up +4% in the US, +2% Global driven by coachella performances (Volume: 657K US // 1.94M Global Streams)
🎸 Zedd Catalog streams are up +10% in the US, +7% Global driven by coachella performance  (Volume: 2.20M US // 5.42M Global Streams)
🎸 Wisp - Your face (2024) streams are up +5% in the US, +7% Global driven by coachella performance (Volume: 213K US // 441K Global Streams)
🎸 ENHYPEN Catalog streams are up +11% in the US, +5% Global driven by coachella performance (Volume: 138K US // 810K Global Streams)
🎸 Sammy Virji - Damager (2024) streams are up +43% in the US, +11% Global driven by coachella performance (Volume: 22K US // 103K Global Streams)
🎸 GloRilla - Blessed (2022) streams are up +9% in the US, +12% Global driven by coachella performance (Volume: 98K US // 106K Global Streams)
🎸 Yeat Catalog streams are up +16% in the US, +15% Global driven by coachella performance and release of new single 'the bell' (Volume: 116K US // 201K Global Streams)
💿 Jon Bellion - KID AGAIN (2025) streams are up +124% in the US, +105% Global driven by waterfall releease of horoscope (feat. pharrell) (Volume: 98K US // 135K Global Streams)
💿 Jon Bellion - WASH (2025) streams are up +36% in the US, +28% Global driven by waterfall releease of horoscope (feat. pharrell) (Volume: 189K US // 261K Global Streams)
💿 Yeat - Gët Busy (2021) streams are up +16% in the US, +15% Global driven by coachella performance and release of new single 'the bell' (Volume: 116K US // 201K Global Streams)
🤨 SIENNA SPIRO - I DON'T HATE YOU (2025) streams are up +73% in the US, +65% Global  (Volume: 7K US // 23K Global Streams)
